index,Precision,Recall,Confusion,acc
0.0,0.0,0.0,"[[0 0]
 [1 0]]",0.0
50.0,0.7777430120984564,0.7843137254901961,"[[37  1]
 [10  3]]",0.7843137254901961
100.0,0.8309379325029278,0.8217821782178217,"[[76  1]
 [17  7]]",0.8217821782178217
150.0,0.8627969712406799,0.8609271523178808,"[[123   1]
 [ 20   7]]",0.8609271523178808
200.0,0.8755477792385225,0.8756218905472637,"[[169   1]
 [ 24   7]]",0.8756218905472637
250.0,0.8711343789214127,0.8685258964143426,"[[210   1]
 [ 32   8]]",0.8685258964143426
300.0,0.8770010617529198,0.8737541528239202,"[[254   1]
 [ 37   9]]",0.8737541528239202
350.0,0.8682056294959521,0.8632478632478633,"[[294   1]
 [ 47   9]]",0.8632478632478633
400.0,0.8524638287730557,0.85785536159601,"[[335   2]
 [ 55   9]]",0.85785536159601
450.0,0.8503692124309937,0.8647450110864745,"[[381   3]
 [ 58   9]]",0.8647450110864745
500.0,0.8655429880978784,0.874251497005988,"[[426   3]
 [ 60  12]]",0.874251497005988
550.0,0.8783506933212568,0.8838475499092558,"[[472   3]
 [ 61  15]]",0.8838475499092558
600.0,0.8781316218402939,0.8851913477537438,"[[514   4]
 [ 65  18]]",0.8851913477537438
650.0,0.8766662501806813,0.8863287250384024,"[[558   5]
 [ 69  19]]",0.8863287250384024
700.0,0.8735125778504575,0.8815977175463623,"[[582   9]
 [ 74  36]]",0.8815977175463623
750.0,0.8683071897591029,0.8735019973368842,"[[600  12]
 [ 83  56]]",0.8735019973368842
800.0,0.8638665706594281,0.867665418227216,"[[630  13]
 [ 93  65]]",0.867665418227216
850.0,0.8633205365892727,0.8672150411280846,"[[664  15]
 [ 98  74]]",0.8672150411280846
900.0,0.862198913844668,0.8623751387347391,"[[678  16]
 [108  99]]",0.8623751387347391
950.0,0.8631278680312466,0.8601472134595163,"[[688  17]
 [116 130]]",0.8601472134595163
1000.0,0.8560734232851455,0.8521478521478522,"[[703  20]
 [128 150]]",0.8521478521478522
1050.0,0.8584711597324999,0.851569933396765,"[[711  20]
 [136 184]]",0.851569933396765
1100.0,0.8601533759264888,0.8537693006357856,"[[748  21]
 [140 192]]",0.8537693006357856
1150.0,0.8532286168034766,0.8488271068635969,"[[774  27]
 [147 203]]",0.8488271068635969
1200.0,0.8480416132591895,0.8459616985845129,"[[802  34]
 [151 214]]",0.8459616985845129
1250.0,0.8473391311699734,0.8441247002398081,"[[823  35]
 [160 233]]",0.8441247002398081
1300.0,0.8479193344830803,0.8439661798616449,"[[832  38]
 [165 266]]",0.8439661798616449
overall,0.8270537656032986,0.8278985796152567,,0.8278985796152567
